record_number,normalized_year,vd17_id,title,Member_number_new,First_name_new,Last_name_new,Society_name_new,GND,role2,field_code,genre
202107,1693,27:751499S,"Nemo suis Sapientiæ privatur meritis. Nec pietas præsidiis suis ejicitur ... Svb Avgvstissimo Invictissimi Imperatoris Leopoldi Regimine Et Avspiciis Serenissimorvm Dvcvm Saxonicorvm Academiae Jenensis Nvtritorvm Mvnificentissimorvm Rectore Magnifico Viro ... Gvnthero Christophoro Schelhammero Medicinae Doctore .... Inclvto Jctorvm Ordine Vir ... Iohannes Philippvs Slevogtivs ICtvs, Consiliarivs Saxonicvs ... Brabevta Legitime Designatvs Viro ... Friderico Gottlieb Blumberg/ Obhvsa-Thvringo Jvris Practico ... Svpremvm In Ivre Gradvm Doctoratvs Eivsdemqve Honores Et Privilegia Ad Diem XXVI Ianvarii In Templo Academico Rite Et More Maiorvm Conferet. Ad Qvam Panegyrin ... In Testes, Aestimatores Officiose Et Amice Invitat Petrvs Mvllervs, D. Et Decanvs P. P. In Academia Salana, Qvae Ienae Est D. XXII Ianvar. Ann M DC XCIII",850,Peter,Müller,Der Treumeinende,gnd/12391132X,VerfasserIn,028A,Einblattdruck
202107,1693,27:751499S,"Nemo suis Sapientiæ privatur meritis. Nec pietas præsidiis suis ejicitur ... Svb Avgvstissimo Invictissimi Imperatoris Leopoldi Regimine Et Avspiciis Serenissimorvm Dvcvm Saxonicorvm Academiae Jenensis Nvtritorvm Mvnificentissimorvm Rectore Magnifico Viro ... Gvnthero Christophoro Schelhammero Medicinae Doctore .... Inclvto Jctorvm Ordine Vir ... Iohannes Philippvs Slevogtivs ICtvs, Consiliarivs Saxonicvs ... Brabevta Legitime Designatvs Viro ... Friderico Gottlieb Blumberg/ Obhvsa-Thvringo Jvris Practico ... Svpremvm In Ivre Gradvm Doctoratvs Eivsdemqve Honores Et Privilegia Ad Diem XXVI Ianvarii In Templo Academico Rite Et More Maiorvm Conferet. Ad Qvam Panegyrin ... In Testes, Aestimatores Officiose Et Amice Invitat Petrvs Mvllervs, D. Et Decanvs P. P. In Academia Salana, Qvae Ienae Est D. XXII Ianvar. Ann M DC XCIII",850,Peter,Müller,Der Treumeinende,gnd/12391132X,VerfasserIn,028A,Hochschulschrift
202107,1693,27:751499S,"Nemo suis Sapientiæ privatur meritis. Nec pietas præsidiis suis ejicitur ... Svb Avgvstissimo Invictissimi Imperatoris Leopoldi Regimine Et Avspiciis Serenissimorvm Dvcvm Saxonicorvm Academiae Jenensis Nvtritorvm Mvnificentissimorvm Rectore Magnifico Viro ... Gvnthero Christophoro Schelhammero Medicinae Doctore .... Inclvto Jctorvm Ordine Vir ... Iohannes Philippvs Slevogtivs ICtvs, Consiliarivs Saxonicvs ... Brabevta Legitime Designatvs Viro ... Friderico Gottlieb Blumberg/ Obhvsa-Thvringo Jvris Practico ... Svpremvm In Ivre Gradvm Doctoratvs Eivsdemqve Honores Et Privilegia Ad Diem XXVI Ianvarii In Templo Academico Rite Et More Maiorvm Conferet. Ad Qvam Panegyrin ... In Testes, Aestimatores Officiose Et Amice Invitat Petrvs Mvllervs, D. Et Decanvs P. P. In Academia Salana, Qvae Ienae Est D. XXII Ianvar. Ann M DC XCIII",850,Peter,Müller,Der Treumeinende,gnd/12391132X,VerfasserIn,028A,Gelegenheitsschrift
202107,1693,27:751499S,"Nemo suis Sapientiæ privatur meritis. Nec pietas præsidiis suis ejicitur ... Svb Avgvstissimo Invictissimi Imperatoris Leopoldi Regimine Et Avspiciis Serenissimorvm Dvcvm Saxonicorvm Academiae Jenensis Nvtritorvm Mvnificentissimorvm Rectore Magnifico Viro ... Gvnthero Christophoro Schelhammero Medicinae Doctore .... Inclvto Jctorvm Ordine Vir ... Iohannes Philippvs Slevogtivs ICtvs, Consiliarivs Saxonicvs ... Brabevta Legitime Designatvs Viro ... Friderico Gottlieb Blumberg/ Obhvsa-Thvringo Jvris Practico ... Svpremvm In Ivre Gradvm Doctoratvs Eivsdemqve Honores Et Privilegia Ad Diem XXVI Ianvarii In Templo Academico Rite Et More Maiorvm Conferet. Ad Qvam Panegyrin ... In Testes, Aestimatores Officiose Et Amice Invitat Petrvs Mvllervs, D. Et Decanvs P. P. In Academia Salana, Qvae Ienae Est D. XXII Ianvar. Ann M DC XCIII",850,Peter,Müller,Der Treumeinende,gnd/12391132X,VerfasserIn,028A,Gelegenheitsschrift
241453,1690,23:745919F,Die @Von Gott reichlich-vergoltene Mildigkeit,850,Peter,Müller,Der Treumeinende,gnd/12391132X,GefeierteR,028C,Gelegenheitsschrift
241454,1690,23:745914T,"Als Der Magnificvs, Hoch-Edle/ Vest- und Hochgelahrte Herr Peter Müller/ Erb- und Gerichts-Herr auf Moderwitz und Leutenthal/ Hochberühmter JCtus ... in der hochlöbl. Fruchtbringenden Geselschafft der Treumeinende/ bey vergnügten Wohlseyn und guter Gesundheit Sein fünffzigstes Jahr den 19. des ietzt lauffenden Monats Julii dieses 1690sten Jahrs zurücke legte/ wolten ihre darob habende Freude und grosses Vergnügen gegen Jhren grossen Gönner und geehrtesten Herrn Hospitem gehorsamst ablegen Jhrer Magnificenz Ergebenste Tisch-Compagnie",850,Peter,Müller,Der Treumeinende,gnd/12391132X,GefeierteR,028C,Gelegenheitsschrift
273828,1682,18:753226W,Dissertationem. Inavgvralem. De. Fide. Vicaria. Magnificæ. Facvltatis Jvridicæ. Decreto. Præside. Dn. Petro. Müllero ... Prof. Ordin. Consil. Saxon. Cvriæ. Provincial. Scabin. Et. Facvlt. Jvrid. Assessore. Pro. Licentia. Svmmos. In. VtroqVe. Jvre. Honores. Et Privilegia. Rite. Legitimeqve. Conseqvendi. In. Avditorio. Jctorvm. Ad. Diem. [ ] Pvblice. Ventilandam. Sistit. Apollo. Gvnthervs. Wigand. Nordhvs.,850,Peter,Müller,Der Treumeinende,gnd/12391132X,Praeses,028A,Dissertation
273852,1682,18:752351D,Disputatio De Fideicomisso Universali,850,Peter,Müller,Der Treumeinende,gnd/12391132X,Praeses,028A,Dissertation
290893,1678,15:753061Y,Collegii Publici Ad Titul. Ult. Digestorum De Diversis Regulis Juris Antiqvi Disputatio XII.,850,Peter,Müller,Der Treumeinende,gnd/12391132X,Praeses,028A,Dissertation
290893,1678,15:753061Y,Collegii Publici Ad Titul. Ult. Digestorum De Diversis Regulis Juris Antiqvi Disputatio XII.,850,Peter,Müller,Der Treumeinende,gnd/12391132X,Praeses,028A,Hochschulschrift
